ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
70.0 0.0 1681.3 1539.4 291.7157 61.23263 0.00758 0.00263 6.64058084557 0.00758 0.00429847647429 -0.0002 0.00382852451997 15.70679 0.02655
70.0 3.0 1687.1 1538.4 291.71604 61.23265 0.00745 0.00236 0.1432 0.0059 0.00265 -0.00455 0.00175 15.65138 0.06487
70.0 4.0 1686.1 1543.7 291.71624 61.23254 0.0126 0.00502 0.1274 0.01231 0.00509 -0.0027 0.00309 15.74542 0.05087
70.0 7.0 1687.1 1538.2 291.71593 61.23261 0.01836 0.00338 0.0717 0.01634 0.00361 -0.00838 0.00231 15.74356 0.02139
70.0 9.0 1691.1 1537.4 291.71624 61.23259 0.0106 0.00285 0.1418 0.007 0.0035 -0.00797 0.00221 15.69934 0.04313
70.0 13.0 1687.1 1539.4 291.71574 61.23264 0.01409 0.00267 0.0739 0.01255 0.00285 -0.00641 0.00183 15.70101 0.02572
70.0 14.0 1686.1 1545.7 291.7161 61.23256 0.01108 0.00406 0.0987 0.01106 0.00406 0.00068 0.00218 15.70991 0.02753
70.0 16.0 1687.1 1539.9 291.71584 61.2326 0.01172 0.00439 0.1002 0.01158 0.00443 0.00178 0.00228 15.74144 0.03681
70.0 20.0 1692.1 1542.4 291.71591 61.23263 0.02809 0.00665 0.0676 -0.02808 0.00666 0.00046 0.00379 15.68187 0.04148
70.0 26.0 1680.8 1536.4 291.71579 61.23261 0.01362 0.00404 0.1682 0.0079 0.00509 -0.0111 0.00338 15.69918 0.03912
70.0 30.0 1690.8 1543.4 291.71607 61.23265 0.01244 0.00491 0.2192 -0.00777 0.00631 -0.00971 0.00376 15.72294 0.04014
70.0 31.0 1692.1 1545.7 291.7159 61.23263 0.00551 0.00201 0.1929 0.00359 0.00243 -0.00418 0.00164 15.81523 0.02221
70.0 32.0 1688.6 1542.4 291.71562 61.23265 0.04116 0.00473 0.0764 0.01024 0.00638 -0.03987 0.00461 15.7318 0.03889
