ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
50.0 0.0 451.3 1580.0 292.01725 61.22857 0.0263 0.00691 7.54585416187 -0.01866 0.00629682459657 -0.01854 0.00890465608544 17.21709 0.08215
50.0 3.0 457.4 1578.2 292.01702 61.22868 0.04046 0.00788 0.0708 -0.01338 0.00536 0.03819 0.00813 16.98181 0.17507
50.0 5.0 460.6 1577.0 292.01736 61.22862 0.04516 0.00899 0.0663 -0.01028 0.00577 -0.04397 0.00913 17.23366 0.10013
50.0 6.0 458.6 1580.8 292.01713 61.22863 0.01883 0.00584 0.1982 -0.01701 0.00527 -0.00806 0.00787 17.24951 0.07892
50.0 9.0 461.1 1578.5 292.01745 61.22873 0.02222 0.0088 0.1913 -0.01507 0.00651 -0.01632 0.01036 17.11355 0.12277
50.0 10.0 456.9 1584.0 292.01741 61.22873 0.02354 0.00806 0.2508 -0.02152 0.00682 -0.00956 0.01256 17.15624 0.12165
50.0 16.0 457.4 1581.5 292.0171 61.22868 0.07412 0.01077 0.0734 -0.05331 0.00907 0.0515 0.01233 17.20826 0.11669
50.0 17.0 463.1 1581.8 292.01708 61.22862 0.0273 0.00999 0.1974 -0.02153 0.00864 -0.01678 0.01189 17.18007 0.10699
50.0 20.0 461.8 1583.8 292.01728 61.22877 0.07223 0.02013 0.1056 -0.03383 0.01285 -0.06382 0.02174 17.08633 0.12363
50.0 21.0 460.6 1581.5 292.01746 61.22862 0.02216 0.00756 0.1527 -0.0129 0.00582 -0.01802 0.00832 17.10547 0.14096
50.0 24.0 457.9 1583.8 292.0172 61.22858 0.03387 0.0074 0.1743 -0.03354 0.00728 0.00478 0.01188 17.18838 0.15823
50.0 25.0 465.3 1584.5 292.01732 61.22855 0.04856 0.0124 0.1267 -0.03396 0.00996 -0.03471 0.01435 17.28201 0.11952
50.0 28.0 457.4 1580.5 292.0173 61.22857 0.07878 0.02567 0.1062 0.00768 0.01662 -0.07841 0.02574 17.28166 0.14777
50.0 29.0 455.4 1584.2 292.01736 61.22858 0.07657 0.02324 0.1466 -0.05108 0.01895 -0.05704 0.02617 17.03656 0.15956
