ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
14.0 0.0 1523.8 141.3 291.75322 61.39859 0.06656 0.01957 86.8031059623 -0.06615 0.0199222714568 0.00742 0.0143097868607 16.88287 0.106
14.0 1.0 1530.6 145.1 291.75248 61.39925 0.01031 0.00475 -41.1326401124 0.00139 0.00662 -0.01022 0.00471 16.85569 0.09104
14.0 10.0 1528.8 151.1 291.75354 61.39851 0.03829 0.01345 -52.2594804939 -0.0096 0.01827 -0.03707 0.01307 16.94563 0.07858
14.0 28.0 1524.3 143.3 291.75381 61.3984 0.01354 0.00631 -77.5211896812 -0.01228 0.00658 -0.00571 0.00485 16.92387 0.08484
14.0 37.0 1526.6 140.4 291.75314 61.39864 0.08404 0.03914 89.2095287019 -0.084 0.03915 0.00232 0.02621 16.8826 0.14806
