ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
77.0 0.0 534.2 1526.4 291.99685 61.23478 0.00317 0.00059 5.00192155149 -0.00188 0.00343803723075 0.00255 0.00345606712898 13.51676 0.01674
77.0 1.0 537.2 1525.9 291.99703 61.23495 0.00248 0.00075 0.1772 -0.00239 0.00073 -0.00063 0.00089 13.58309 0.03106
77.0 2.0 548.0 1532.7 291.99712 61.23482 0.00193 0.00064 0.1431 0.00063 0.00054 -0.00182 0.00065 13.49657 0.02476
77.0 3.0 540.0 1524.8 291.99662 61.23491 0.00277 0.00062 0.0925 0.0004 0.00051 -0.00274 0.00062 13.50285 0.03902
77.0 4.0 538.2 1528.2 291.99695 61.23484 0.0035 0.00073 0.1288 0.00344 0.00073 0.00068 0.00091 13.52488 0.03272
77.0 5.0 543.5 1523.5 291.99696 61.23484 0.0027 0.00066 0.1138 0.00154 0.00057 -0.00222 0.0007 13.51503 0.01782
77.0 6.0 541.5 1527.5 291.99668 61.23481 0.00569 0.00058 0.0523 -0.00421 0.00053 -0.00382 0.00064 13.60798 0.02907
77.0 7.0 539.8 1521.0 291.99662 61.23501 0.0028 0.00068 0.1024 0.00099 0.00055 -0.00262 0.00069 13.50931 0.0132
77.0 11.0 540.2 1526.5 291.99693 61.23489 0.00313 0.00101 0.1754 -0.00262 0.00094 0.00172 0.00116 13.51004 0.01777
77.0 12.0 543.2 1525.8 291.99698 61.23478 0.00488 0.00076 0.0814 -0.00383 0.0007 -0.00302 0.00085 13.60116 0.0291
77.0 13.0 540.0 1526.8 291.99664 61.23477 0.00294 0.00058 0.096 -0.00193 0.00052 0.00222 0.00063 13.51563 0.01402
77.0 14.0 538.5 1527.2 291.99707 61.23485 0.00292 0.00066 0.1024 -0.00146 0.00056 -0.00252 0.00069 13.52214 0.01695
77.0 15.0 531.2 1517.8 291.99674 61.23478 0.00639 0.00115 0.0492 -0.0007 0.00062 0.00635 0.00116 13.45856 0.02282
77.0 16.0 540.2 1527.7 291.99666 61.23493 0.00207 0.00064 0.1647 0.0017 0.00059 -0.00118 0.00072 13.52709 0.01992
77.0 17.0 545.8 1528.2 291.99671 61.23484 0.00338 0.00092 0.1296 0.00206 0.00081 -0.00268 0.00098 13.58286 0.03567
77.0 18.0 539.8 1532.7 291.9968 61.23473 0.00721 0.00083 0.046 0.00196 0.00065 -0.00694 0.00085 13.51487 0.01861
77.0 19.0 534.0 1523.7 291.99687 61.23477 0.01577 0.00101 0.0196 0.00103 0.00062 0.01574 0.00101 13.46302 0.01985
77.0 20.0 544.8 1530.2 291.99689 61.23503 0.00361 0.00083 0.1172 0.00268 0.00072 -0.00242 0.00094 13.50272 0.02315
77.0 21.0 543.2 1527.8 291.99709 61.23486 0.00367 0.00057 0.0931 -0.00364 0.00057 -0.00043 0.00068 13.50286 0.04611
77.0 23.0 540.5 1529.4 291.99673 61.23498 0.0052 0.00063 0.0496 8e-05 0.00052 -0.0052 0.00063 13.61235 0.03258
77.0 24.0 540.5 1530.4 291.99686 61.23479 0.00335 0.0006 0.1052 0.00305 0.00056 0.00141 0.00073 13.52395 0.0246
77.0 25.0 548.0 1530.7 291.99695 61.23475 0.00583 0.00071 0.0688 0.00525 0.00068 -0.00255 0.00083 13.56689 0.03198
77.0 26.0 533.8 1523.7 291.99692 61.23477 0.00488 0.00087 0.0684 0.00125 0.00065 0.00471 0.00088 13.50393 0.02155
77.0 27.0 544.5 1537.1 291.99668 61.23479 0.00218 0.0008 0.2227 -0.00202 0.00076 0.00083 0.001 13.56188 0.01767
77.0 28.0 540.2 1527.0 291.9969 61.23472 0.00592 0.00098 0.0838 0.0043 0.00083 0.00408 0.00112 13.49981 0.02403
77.0 29.0 538.0 1530.4 291.99701 61.23482 0.00392 0.00115 0.1271 0.00181 0.00094 0.00348 0.0012 13.56933 0.04285
77.0 31.0 544.8 1532.6 291.99682 61.23497 0.00158 0.00051 0.1927 -0.00156 0.00051 0.00025 0.00061 13.62406 0.01827
77.0 32.0 541.2 1525.0 291.9972 61.23485 0.00474 0.00098 0.1045 0.00341 0.00084 -0.00329 0.00112 13.49607 0.02006
77.0 38.0 536.0 1523.7 291.99718 61.23487 0.00321 0.00074 0.1419 -0.00298 0.0007 0.00118 0.00094 13.37637 0.12108
