ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
62.0 1.0 1775.2 1450.1 291.69396 61.24373 0.0176 0.00458 0.1396 -0.01154 0.00581 0.0133 0.00339 16.30554 0.04677
62.0 4.0 1776.2 1448.9 291.69409 61.24365 0.01231 0.00468 0.3602 -0.00147 0.00892 0.01223 0.00459 16.23596 0.06911
62.0 15.0 1768.5 1439.4 291.69351 61.24379 0.02368 0.00773 0.155 -0.01795 0.00874 0.01545 0.0061 16.23826 0.05009
62.0 18.0 1777.0 1450.9 291.6933 61.2439 0.02996 0.00999 0.0796 -0.02993 0.01 0.00128 0.00476 16.23805 0.04954
62.0 20.0 1782.0 1447.3 291.69369 61.2437 0.10544 0.01108 0.0272 -0.10513 0.0111 -0.00802 0.00569 16.24937 0.06221
62.0 34.0 1775.8 1451.1 291.69244 61.24346 0.03932 0.00899 0.0555 -0.03932 0.00899 -0.00028 0.00437 16.23222 0.06892
