ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
78.0 2.0 1262.8 1640.5 270.06751 38.73701 0.01466 0.00531 0.1961 0.00619 0.00587 -0.01329 0.00518 17.1486 0.05677
78.0 4.0 1259.2 1667.2 270.06853 38.73561 0.01443 0.0038 0.1448 -0.00058 0.00418 -0.01442 0.0038 16.90266 0.03686
78.0 5.0 1264.3 1664.8 270.06851 38.73568 0.0194 0.00326 0.0901 -0.00808 0.00356 -0.01763 0.00319 16.82751 0.108
78.0 7.0 1263.3 1665.8 270.06881 38.73583 0.01678 0.00356 0.1131 -0.00734 0.00387 -0.0151 0.00349 16.94937 0.06402
78.0 15.0 1254.8 1634.2 270.06799 38.7375 0.03055 0.00634 0.1055 -0.01575 0.0065 -0.02617 0.00628 17.08255 0.07979
78.0 19.0 1264.2 1634.5 270.06831 38.73749 0.01667 0.00604 0.1963 -0.00762 0.00672 -0.01483 0.00585 17.18747 0.08732
78.0 21.0 1261.5 1661.5 270.06855 38.73544 0.02732 0.0108 0.1701 0.00354 0.00927 -0.02708 0.01083 16.63669 0.18252
78.0 30.0 1266.2 1643.2 270.06754 38.73677 0.08863 0.02024 0.1068 -0.0695 0.02226 0.055 0.01652 17.11232 0.25708
78.0 32.0 1260.5 1660.8 270.06884 38.73572 0.11933 0.02557 0.0984 -0.10402 0.02648 -0.05849 0.02247 16.65287 0.50502
