ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
34.0 0.0 646.2 265.9 270.15956 38.89957 0.00407 0.00089 7.32813019972 -0.004 0.00351203644628 -0.00073 0.00355844066973 14.67813 0.01198
34.0 1.0 649.2 259.1 270.15952 38.89971 0.00296 0.00089 0.1763 -0.00293 0.00089 -0.0004 0.00104 14.89452 0.02114
34.0 2.0 651.4 266.6 270.15966 38.89965 0.00573 0.00099 0.091 -0.00473 0.00093 -0.00324 0.00109 14.91842 0.02585
34.0 3.0 654.4 263.4 270.15952 38.89974 0.00479 0.00101 0.1188 -0.00438 0.00098 -0.00194 0.00117 14.87597 0.02026
34.0 4.0 646.9 269.1 270.15994 38.90012 0.00657 0.00095 0.0763 -0.0053 0.00089 -0.00389 0.00106 14.87604 0.02082
34.0 7.0 651.4 267.9 270.15965 38.89993 0.0094 0.00097 0.0471 -0.00417 0.00085 -0.00842 0.001 14.90334 0.03527
34.0 8.0 653.9 264.9 270.15947 38.89984 0.00818 0.00097 0.07 -0.00807 0.00096 -0.00136 0.00115 14.69021 0.01531
34.0 9.0 653.9 262.9 270.15988 38.90019 0.00587 0.0013 0.1125 -0.00435 0.00118 -0.00394 0.00143 14.94495 0.0611
34.0 11.0 650.9 262.1 270.15967 38.89965 0.00611 0.00105 0.0785 -0.00299 0.00092 -0.00533 0.00108 14.82237 0.04078
34.0 12.0 651.9 269.1 270.15942 38.89982 0.00665 0.00089 0.0792 -0.00657 0.00089 -0.00101 0.00106 14.85557 0.0231
34.0 14.0 652.4 262.9 270.15955 38.89975 0.00482 0.00112 0.1302 -0.0043 0.00107 -0.00217 0.0013 14.77591 0.03537
34.0 15.0 642.0 260.4 270.16026 38.90044 0.00893 0.00121 0.0557 -0.00166 0.00099 -0.00877 0.00121 14.99392 0.01561
34.0 16.0 652.9 266.6 270.15976 38.89992 0.01252 0.00133 0.047 -0.00569 0.00112 -0.01116 0.00139 14.83748 0.03888
34.0 17.0 653.9 261.9 270.15991 38.90005 0.00419 0.00095 0.1299 -0.00412 0.00094 -0.00077 0.00109 14.77559 0.04565
34.0 18.0 647.4 263.1 270.15985 38.90014 0.00842 0.00128 0.0631 -5e-05 0.00106 -0.00842 0.00128 14.74728 0.0301
34.0 19.0 651.7 261.1 270.16017 38.90086 0.00384 0.0011 0.1332 -0.00209 0.00097 -0.00322 0.00115 14.76201 0.0448
34.0 20.0 653.9 268.8 270.15965 38.89957 0.01086 0.00112 0.0606 -0.00997 0.00108 -0.00431 0.00136 14.80444 0.02659
34.0 21.0 654.2 260.9 270.15982 38.90017 0.00855 0.00226 0.1109 -0.00477 0.00153 -0.00709 0.00252 14.91815 0.05175
34.0 22.0 653.2 264.9 270.15968 38.89989 0.01122 0.00177 0.0649 -0.00095 0.00145 -0.01118 0.00177 14.87675 0.0279
34.0 23.0 655.9 261.9 270.16028 38.90091 0.00494 0.00098 0.114 -0.00469 0.00096 -0.00155 0.00114 14.87797 0.02682
34.0 24.0 657.7 266.1 270.15975 38.89951 0.00492 0.00147 0.1793 -0.00477 0.00145 -0.00118 0.00178 14.83657 0.05344
34.0 25.0 648.4 267.9 270.15953 38.89953 0.01335 0.00205 0.0635 -0.00036 0.00169 -0.01334 0.00205 14.84886 0.04711
34.0 26.0 653.2 263.9 270.15972 38.89949 0.01195 0.00196 0.0791 -0.00786 0.00164 -0.009 0.00218 14.85369 0.03807
34.0 27.0 649.2 259.6 270.1598 38.90006 0.00572 0.00123 0.1217 -0.00501 0.00116 -0.00277 0.00146 14.83804 0.06344
34.0 29.0 651.7 261.9 270.15948 38.89976 0.00853 0.00134 0.086 -0.00716 0.00125 -0.00464 0.00155 14.79725 0.11387
34.0 30.0 654.7 269.1 270.1597 38.89953 0.01226 0.00223 0.1099 -0.01173 0.00218 0.00357 0.00274 14.85889 0.04863
34.0 32.0 648.7 262.6 270.15945 38.89975 0.02288 0.00493 0.1035 0.01357 0.0045 -0.01841 0.00514 14.92808 0.13917
