ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
76.0 4.0 1388.0 1282.8 270.04846 38.78098 0.01308 0.00437 0.16 0.01012 0.00473 -0.00829 0.00378 16.95209 0.03809
76.0 8.0 1394.8 1278.8 270.04886 38.78085 0.02542 0.00424 0.1063 0.0012 0.00541 -0.02539 0.00424 16.82246 0.03818
76.0 12.0 1392.8 1282.8 270.04812 38.78098 0.01165 0.0041 0.197 0.00625 0.0049 0.00984 0.00373 16.92201 0.05421
76.0 20.0 1394.8 1282.8 270.04786 38.78012 0.02173 0.00685 0.1329 -0.02029 0.00702 -0.00777 0.00557 16.82624 0.09378
76.0 23.0 1393.2 1278.3 270.04824 38.77973 0.01967 0.00481 0.1252 0.01312 0.00537 -0.01466 0.00431 16.90141 0.08289
76.0 27.0 1388.0 1275.8 270.04819 38.78026 0.06628 0.00795 0.0553 -0.05285 0.00872 -0.04001 0.00641 16.7984 0.22905
76.0 30.0 1395.5 1283.8 270.0479 38.78005 0.17124 0.01413 0.0458 -0.09074 0.0166 -0.14522 0.01304 16.93821 0.22304
76.0 31.0 1391.8 1278.3 270.04827 38.77965 0.04554 0.0087 0.1374 0.00269 0.01252 -0.04546 0.00868 16.86424 0.2908
