ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
39.0 5.0 783.6 703.8 270.14007 38.84899 0.01233 0.00443 0.1844 0.00949 0.00418 0.00787 0.00478 17.19559 0.1432
39.0 7.0 783.1 704.8 270.14031 38.84906 0.01813 0.00488 0.1347 0.01284 0.00453 0.0128 0.00521 17.29262 0.08151
39.0 12.0 783.6 705.8 270.13974 38.84928 0.01662 0.00581 0.1506 0.00163 0.005 0.01654 0.00581 17.23783 0.06959
39.0 16.0 784.6 703.5 270.14014 38.84889 0.03819 0.00882 0.1084 0.02139 0.00779 0.03163 0.00925 17.07141 0.14307
39.0 18.0 779.1 700.2 270.14003 38.84901 0.02907 0.00785 0.1195 -0.00822 0.00686 0.02788 0.00793 17.20482 0.11996
39.0 24.0 787.8 703.5 270.14041 38.84899 0.06215 0.01314 0.0892 0.01056 0.01102 0.06124 0.0132 16.9481 0.2006
39.0 25.0 780.3 704.8 270.14016 38.84908 0.04785 0.01379 0.1513 0.04325 0.01358 0.02048 0.01468 16.96839 0.16704
