ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
47.0 0.0 165.2 1284.3 270.23372 38.77987 0.00615 0.00079 2.44080020726 -0.00103 0.00343803723075 0.00606 0.00349284983931 13.75701 0.01125
47.0 1.0 165.2 1276.6 270.23372 38.77998 0.00265 0.00074 0.1116 -0.00126 0.00052 0.00233 0.0008 14.03535 0.0207
47.0 2.0 170.2 1285.3 270.23335 38.78008 0.00786 0.00084 0.0336 0.00024 0.00053 0.00786 0.00084 13.99725 0.02543
47.0 3.0 174.8 1283.3 270.23322 38.78011 0.00584 0.00084 0.0527 -0.00218 0.00056 0.00542 0.00088 13.9352 0.01952
47.0 4.0 165.7 1287.6 270.23392 38.77943 0.00289 0.00067 0.1117 -0.00193 0.0005 0.00215 0.00079 13.93309 0.02047
47.0 5.0 171.2 1285.3 270.23384 38.77939 0.00554 0.00075 0.0451 0.00078 0.00049 0.00549 0.00076 13.84783 0.04537
47.0 7.0 170.2 1285.6 270.23382 38.77946 0.00677 0.00077 0.0372 -0.00078 0.0005 0.00673 0.00078 13.97933 0.03459
47.0 8.0 172.8 1283.6 270.23355 38.77963 0.00616 0.00085 0.0454 -0.00139 0.00054 0.006 0.00087 13.77837 0.01463
47.0 9.0 169.5 1280.3 270.23425 38.77913 0.00623 0.00091 0.0637 -0.00372 0.00062 0.00499 0.00104 14.07609 0.04493
47.0 10.0 167.2 1279.3 270.23431 38.77904 0.00406 0.00094 0.0839 -0.00182 0.00057 0.00363 0.00101 13.85113 0.04522
47.0 11.0 170.8 1281.6 270.23342 38.78011 0.00542 0.00072 0.0605 0.00335 0.00053 0.00426 0.00082 13.90051 0.03944
47.0 12.0 170.8 1287.8 270.23322 38.78014 0.00371 0.0008 0.0699 -0.00044 0.00051 0.00368 0.0008 13.95036 0.0222
47.0 13.0 174.0 1282.6 270.23339 38.7801 0.00558 0.00074 0.05 -0.00228 0.0005 0.0051 0.00078 14.0381 0.02141
47.0 14.0 168.0 1280.3 270.23322 38.78009 0.00554 0.00073 0.0739 -0.00438 0.00058 0.0034 0.00093 13.85385 0.03227
47.0 15.0 161.5 1279.8 270.23407 38.77978 0.00394 0.00058 0.114 -0.00376 0.00054 0.00116 0.00093 14.09277 0.01155
47.0 16.0 172.0 1285.3 270.23416 38.77957 0.00442 0.0007 0.1016 -0.00378 0.00056 0.00228 0.00099 13.96494 0.03559
47.0 17.0 169.5 1278.6 270.23393 38.77945 0.00653 0.00078 0.0446 -0.00265 0.00052 0.00597 0.00082 13.84456 0.04397
47.0 18.0 166.9 1282.6 270.23391 38.77946 0.00639 0.00093 0.0442 -7e-05 0.00056 0.00639 0.00093 13.78964 0.02783
47.0 19.0 171.0 1279.8 270.23313 38.78006 0.00413 0.00086 0.0652 -0.00023 0.00054 0.00412 0.00086 13.86027 0.04432
47.0 20.0 172.5 1287.3 270.23348 38.77992 0.00494 0.00092 0.0653 -0.0019 0.00057 0.00455 0.00097 13.91735 0.02333
47.0 21.0 169.8 1277.8 270.23428 38.77907 0.00588 0.00136 0.1509 -0.00483 0.0008 -0.00336 0.00209 14.09584 0.03954
47.0 22.0 172.2 1283.6 270.23411 38.77968 0.00263 0.00088 0.1835 -0.00202 0.00063 0.00169 0.00114 14.01652 0.02433
47.0 23.0 170.8 1278.3 270.23312 38.7801 0.00702 0.00061 0.0537 -0.00599 0.00052 0.00365 0.00082 13.99362 0.02456
47.0 24.0 173.2 1283.1 270.23353 38.77988 0.00919 0.00126 0.0387 0.00046 0.00071 0.00918 0.00126 13.94645 0.04721
47.0 25.0 167.4 1286.3 270.23371 38.77981 0.0059 0.00139 0.0618 -0.00034 0.00073 0.00589 0.00139 13.94949 0.04254
47.0 27.0 165.2 1277.3 270.23423 38.7796 0.02528 0.00101 0.012 -0.0069 0.00056 0.02432 0.00103 13.93672 0.05321
47.0 29.0 168.8 1279.8 270.23321 38.78011 0.01192 0.00107 0.0259 -0.00154 0.00061 0.01182 0.00108 13.90344 0.08603
47.0 30.0 173.5 1288.1 270.23351 38.77987 0.00962 0.00155 0.0689 -0.00584 0.00091 0.00764 0.00183 13.97871 0.03747
47.0 31.0 169.5 1283.6 270.23326 38.78002 0.00595 0.00119 0.0722 -0.0028 0.00069 0.00525 0.0013 13.93244 0.05797
