ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
2.0 0.0 167.0 1562.2 279.20813 31.54631 0.01985 0.00122 -37.3568482425 0.00523 0.00346346647161 -0.01914 0.00362596194133 13.68206 0.02034
2.0 1.0 171.8 1563.2 279.20803 31.54624 0.02619 0.00165 -38.1589891557 0.0062 0.00085 -0.02545 0.00169 13.70237 0.023
2.0 4.0 162.5 1561.0 279.20801 31.54637 0.02337 0.00146 -41.2816091392 0.00302 0.00074 -0.02318 0.00146 13.71777 0.01438
2.0 5.0 164.5 1563.5 279.208 31.5464 0.02425 0.00159 -39.1330174074 0.00493 0.0008 -0.02374 0.00162 13.67785 0.02013
2.0 7.0 161.8 1551.3 279.20853 31.54605 0.02321 0.00118 -40.8060541692 0.00338 0.00063 -0.02296 0.00119 13.71298 0.01357
2.0 9.0 163.5 1555.0 279.20794 31.54647 0.03468 0.00176 -40.1471527048 0.00585 0.0009 -0.03419 0.00178 13.68349 0.03147
2.0 15.0 157.4 1553.1 279.20805 31.54625 0.0334 0.00215 -38.709028639 0.00727 0.00107 -0.0326 0.00219 13.72438 0.03387
2.0 17.0 163.0 1554.5 279.20816 31.54614 0.01718 0.00106 -34.8071860542 0.00598 0.00063 -0.0161 0.00111 13.71252 0.01048
