ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
9.0 1.0 1712.4 1814.1 239.55793 56.32794 0.00644 0.00315 -60.2923487816 -0.00327 0.00434 -0.00554 0.00261 15.48175 0.02671
9.0 2.0 1702.9 1818.3 239.55802 56.32802 0.01099 0.00322 -30.2865490506 0.0054 0.00441 -0.00957 0.00273 15.44919 0.02165
9.0 6.0 1705.4 1823.6 239.55757 56.32781 0.0181 0.00859 0.00572957795131 0.0181 0.00859 0.0 0.00528 15.45496 0.04995
9.0 7.0 1710.4 1821.3 239.55791 56.32793 0.00979 0.00387 -15.1661928371 0.00845 0.00421 -0.00494 0.00262 15.4471 0.05574
9.0 10.0 1701.4 1818.1 239.55755 56.32779 0.01747 0.00796 -17.2001930098 0.01441 0.00893 -0.00987 0.00534 15.46211 0.04132
9.0 13.0 1711.9 1819.6 239.55787 56.32795 0.00651 0.00297 -21.5202947851 0.00476 0.00353 -0.00445 0.00215 15.4951 0.02887
9.0 16.0 1704.4 1825.1 239.55771 56.32793 0.00944 0.00447 -28.6192418668 0.00511 0.00595 -0.00794 0.00369 15.4725 0.04152
9.0 17.0 1706.6 1821.1 239.55795 56.32794 0.01045 0.00352 -81.549082981 -0.01 0.00361 -0.00304 0.00235 15.45801 0.07406
9.0 19.0 1704.6 1822.8 239.55792 56.32795 0.00633 0.00315 -18.586750874 0.00504 0.00354 -0.00383 0.00232 15.43489 0.04637
9.0 20.0 1700.9 1820.3 239.55789 56.32793 0.01027 0.00307 -31.650188603 0.00462 0.00421 -0.00918 0.00271 15.45255 0.06686
9.0 22.0 1704.1 1820.3 239.55798 56.32793 0.01184 0.00481 -15.0917083237 0.01024 0.0052 -0.00595 0.00341 15.45481 0.04812
9.0 23.0 1708.9 1815.8 239.55794 56.32794 0.01171 0.00404 -36.7437834017 0.00333 0.00605 -0.01123 0.00381 15.47275 0.03143
9.0 26.0 1713.4 1823.8 239.5579 56.32796 0.01651 0.00421 -32.4924365619 0.00698 0.00622 -0.01496 0.00362 15.4475 0.06827
9.0 28.0 1699.6 1822.6 239.55792 56.32794 0.03372 0.00665 -16.5470211234 0.02825 0.00748 -0.01842 0.00405 15.46547 0.0727
9.0 31.0 1708.4 1817.6 239.55791 56.32795 0.02146 0.00431 -38.835079354 0.00458 0.00654 -0.02096 0.00417 15.43891 0.09718
9.0 33.0 1704.6 1820.1 239.55787 56.32802 0.01369 0.00314 -35.2540931344 0.00457 0.00401 -0.0129 0.00301 15.45219 0.02763
9.0 38.0 1707.9 1823.3 239.55794 56.32792 0.00812 0.00291 -4.54928489334 0.00802 0.00293 -0.00128 0.00195 15.44063 0.05692
9.0 39.0 1702.6 1822.3 239.55792 56.32792 0.0105 0.00272 -52.3110466954 -0.00265 0.00376 -0.01016 0.00264 15.448 0.09063
9.0 40.0 1706.1 1825.6 239.55775 56.32797 0.05218 0.00711 -35.7525664162 0.01656 0.01078 -0.04949 0.00657 15.45531 0.07077
9.0 41.0 1707.1 1820.1 239.55776 56.32797 0.01386 0.00397 -31.535597044 0.00628 0.00566 -0.01236 0.0034 15.46844 0.13293
9.0 44.0 1701.1 1818.6 239.55799 56.32802 0.0713 0.00851 -37.6948933417 0.01798 0.01278 -0.06899 0.00814 15.40952 0.11244
