ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
24.0 1.0 216.9 1737.6 239.87437 56.3384 0.04891 0.01067 0.0647 0.01418 0.00571 -0.04681 0.01102 16.5435 0.0635
24.0 2.0 207.6 1737.9 239.87393 56.33843 0.02934 0.00988 0.1422 0.01735 0.00609 -0.02365 0.01141 16.51039 0.05252
24.0 5.0 215.2 1742.6 239.8743 56.33838 0.02005 0.00737 0.1721 0.01335 0.00464 -0.01495 0.00897 16.5041 0.04693
24.0 7.0 218.6 1746.4 239.87381 56.33846 0.03451 0.01047 0.0846 0.00764 0.00548 -0.03366 0.01066 16.59114 0.12342
24.0 19.0 212.1 1746.1 239.87441 56.33837 0.01887 0.00407 0.1887 0.01862 0.00395 -0.00306 0.00719 16.53574 0.12725
24.0 20.0 214.7 1742.1 239.87385 56.33861 0.05397 0.01311 0.0912 0.02606 0.00802 -0.04726 0.0143 16.51752 0.13755
24.0 22.0 210.4 1736.1 239.87432 56.33836 0.01465 0.00557 0.323 0.01441 0.00538 -0.00265 0.00957 16.55463 0.14632
24.0 32.0 209.9 1742.1 239.87434 56.33833 0.04087 0.01168 0.1011 0.02114 0.00539 -0.03497 0.01325 16.55541 0.07103
24.0 34.0 211.7 1739.6 239.87416 56.3385 0.11205 0.01626 0.0365 0.02099 0.00771 -0.11007 0.01648 16.6073 0.33177
24.0 37.0 217.7 1747.6 239.8743 56.3384 0.07454 0.01618 0.0591 0.01603 0.00826 -0.07279 0.01647 16.55994 0.17064
24.0 39.0 211.1 1743.9 239.87406 56.3385 0.15448 0.0255 0.0571 0.06569 0.01466 -0.13982 0.02732 16.59572 0.17996
24.0 41.0 212.7 1741.6 239.87433 56.33839 0.06439 0.01728 0.0886 0.02684 0.00924 -0.05852 0.01853 16.50674 0.21675
24.0 44.0 206.1 1736.9 239.874 56.33849 0.23845 0.03272 0.0484 0.10698 0.01876 -0.2131 0.03538 16.54391 0.27309
