ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
21.0 0.0 141.2 1520.1 280.5703 32.25524 0.03323 0.01208 -0.240642273955 0.03323 0.0125493585493 -0.00028 0.0268164128846 16.79909 0.08788
21.0 2.0 139.9 1518.6 280.57031 32.25548 0.04149 0.02064 28.9286390762 0.02208 0.01021 0.03513 0.02351 16.60539 0.12445
21.0 4.0 148.5 1521.1 280.57014 32.25537 0.06284 0.02199 71.4650257867 -0.05014 0.01381 0.03788 0.03157 16.33019 0.12109
21.0 11.0 138.2 1512.6 280.57048 32.25478 0.07236 0.02609 -39.5684653317 0.01364 0.01053 -0.07106 0.02648 16.86274 0.0878
21.0 17.0 129.2 1513.8 280.57049 32.25518 0.05703 0.02656 54.4539088492 -0.01848 0.01253 0.05395 0.02775 16.81221 0.08773
