ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
56.0 0.0 1246.8 733.6 272.32822 20.72748 0.01 0.00169 5.37434411833 -0.00281 0.00389 0.0096 0.00379241347957 17.54156 0.26698
56.0 3.0 1254.1 737.4 272.32823 20.72743 0.01193 0.00183 0.0773 -0.00823 0.00196 0.00864 0.0017 15.80811 0.03624
56.0 13.0 1239.1 737.4 272.32823 20.7275 0.02748 0.00304 0.0525 -0.02136 0.0033 0.01729 0.00258 15.85833 0.03247
56.0 14.0 1252.6 735.1 272.32827 20.72753 0.00839 0.0017 0.1109 -0.00034 0.00186 0.00838 0.0017 15.52813 0.04717
56.0 36.0 1252.1 740.1 272.3285 20.72725 0.03718 0.00219 0.0316 -0.00286 0.00235 -0.03707 0.00219 15.53709 0.05248
56.0 38.0 1253.6 734.9 272.32851 20.72733 0.02786 0.0063 0.1253 -0.00251 0.00699 -0.02775 0.00629 15.77897 0.07205
56.0 41.0 1242.6 739.6 272.32824 20.72752 0.03536 0.00439 0.069 0.00214 0.00488 -0.03529 0.00439 15.74633 0.03342
56.0 42.0 1253.6 740.1 272.32848 20.72728 0.1226 0.0072 0.027 -0.12253 0.0072 0.00423 0.00662 15.8904 0.12784
