ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
74.0 0.0 1319.7 1568.2 272.31954 20.62888 0.00427 0.0011 8.72614721984 -0.00081 0.0036436382916 -0.00419 0.00357044815114 17.57551 0.36631
74.0 1.0 1326.9 1571.2 272.31968 20.62884 0.01086 0.00108 0.0568 0.00367 0.00126 -0.01022 0.00106 15.12273 0.0318
74.0 6.0 1318.7 1575.2 272.31971 20.62881 0.00855 0.00116 0.0748 0.00391 0.00132 -0.0076 0.00112 15.0803 0.03288
74.0 7.0 1319.4 1569.2 272.31955 20.62891 0.0105 0.00115 0.0635 -0.00269 0.00135 -0.01015 0.00114 15.029 0.0321
74.0 8.0 1326.2 1571.0 272.31971 20.62879 0.00844 0.00129 0.0916 0.00084 0.00155 -0.0084 0.00129 15.0497 0.03828
74.0 9.0 1315.4 1570.2 272.31963 20.62878 0.00821 0.00101 0.071 0.00047 0.00117 -0.00819 0.00101 nan nan
74.0 12.0 1325.4 1566.2 272.31968 20.62894 0.01059 0.00116 0.0657 0.00384 0.00143 -0.00987 0.00112 15.12548 0.07174
74.0 13.0 1311.7 1571.5 272.31958 20.62895 0.00887 0.00157 0.1147 3e-05 0.00203 -0.00887 0.00157 15.42237 0.03019
74.0 14.0 1327.9 1569.8 272.31958 20.62891 0.00378 0.00113 0.1721 -0.00087 0.00131 -0.00368 0.00112 15.0458 0.04723
74.0 15.0 1324.2 1576.2 272.31974 20.62876 0.011 0.0012 0.0645 0.00281 0.00143 -0.01064 0.00118 15.12992 0.05888
74.0 18.0 1326.2 1580.2 272.31964 20.62876 0.00376 0.00131 0.2027 -0.00104 0.00154 -0.00362 0.00128 15.43252 0.02598
74.0 19.0 1325.4 1571.0 272.31957 20.62886 0.00952 0.00146 0.0934 -0.00034 0.00178 -0.00951 0.00146 15.47812 0.03612
74.0 24.0 1324.2 1572.2 272.31957 20.62895 0.01666 0.00133 0.0464 0.0029 0.00155 -0.01641 0.00133 15.14043 0.06338
74.0 25.0 1324.2 1572.5 272.31957 20.62893 0.0085 0.00164 0.1197 0.00014 0.00204 -0.0085 0.00164 15.9207 0.37273
74.0 26.0 1324.2 1568.5 272.31974 20.62877 0.01302 0.00105 0.0472 0.00159 0.00123 -0.01292 0.00104 14.97602 0.07377
74.0 33.0 1320.4 1571.2 272.31943 20.62903 0.00916 0.00114 0.0651 0.00558 0.00126 -0.00727 0.00106 14.96882 0.08414
74.0 34.0 1324.7 1581.2 272.31972 20.62875 0.01213 0.0014 0.0643 0.00598 0.00163 -0.01056 0.00132 15.19491 0.07257
74.0 36.0 1327.7 1574.5 272.31972 20.62876 0.01679 0.00145 0.0494 0.00461 0.00167 -0.01614 0.00143 15.08437 0.05244
