ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
8.0 0.0 736.2 1475.0 238.96422 11.13826 0.01146 0.00277 82.3225760044 -0.01105 0.00437292808082 0.00303 0.0045343136195 13.32521 0.02488
8.0 2.0 741.7 1485.0 238.9642 11.13828 0.01036 0.00256 84.9352635502 -0.0102 0.00255 0.00182 0.00283 13.33191 0.01805
8.0 3.0 746.9 1480.5 238.96426 11.13832 0.00673 0.00233 83.1992014309 -0.00654 0.00232 0.00158 0.00256 13.35006 0.01173
8.0 4.0 741.2 1475.5 238.96426 11.1383 0.00799 0.00264 87.0552073922 -0.00795 0.00263 0.00082 0.00295 13.36425 0.01543
8.0 6.0 745.9 1476.8 238.96436 11.13785 0.00951 0.00289 79.0166095265 -0.00882 0.00284 0.00356 0.00313 13.32376 0.02285
8.0 7.0 742.7 1472.0 238.96425 11.13832 0.0093 0.00206 80.254198364 -0.00877 0.00204 0.0031 0.00226 13.3346 0.02576
8.0 8.0 744.2 1481.2 238.96429 11.13783 0.01319 0.00338 74.5761866142 -0.01133 0.00329 0.00676 0.00362 13.32652 0.02743
8.0 9.0 735.7 1471.2 238.96425 11.1383 0.00937 0.00306 70.6170482499 -0.00731 0.0029 0.00587 0.0033 13.33571 0.0283
8.0 10.0 740.9 1482.2 238.96432 11.13829 0.00824 0.00305 -88.8944019145 -0.00823 0.00305 -0.00032 0.00335 13.34086 0.03114
8.0 11.0 736.7 1483.2 238.96423 11.13827 0.01413 0.00285 79.6296743673 -0.01321 0.00282 0.005 0.00303 13.32865 0.0307
8.0 13.0 736.7 1478.5 238.96422 11.13826 0.0108 0.00294 76.0085811021 -0.00953 0.00287 0.00507 0.00318 13.35753 0.01594
8.0 14.0 742.2 1477.8 238.96427 11.13782 0.01754 0.00274 84.8951565045 -0.01726 0.00273 0.00311 0.00297 13.36565 0.01934
8.0 15.0 736.2 1477.2 238.96436 11.13779 0.00769 0.00332 87.0151003465 -0.00765 0.00332 0.0008 0.00362 13.3322 0.01515
8.0 16.0 737.7 1479.5 238.96427 11.13829 0.01114 0.00235 82.952829579 -0.0108 0.00234 0.00271 0.00257 13.31707 0.02979
8.0 17.0 735.7 1481.5 238.9642 11.13826 0.00852 0.00242 88.1667455147 -0.00851 0.00242 0.00054 0.00268 13.35545 0.01477
8.0 18.0 742.9 1481.8 238.96437 11.13788 0.02676 0.00389 84.4310606905 -0.02625 0.00388 0.00517 0.00406 13.26963 0.02557
8.0 19.0 737.2 1478.0 238.96424 11.13828 0.01162 0.00318 87.3588750236 -0.01157 0.00318 0.00107 0.00358 13.36317 0.01273
8.0 20.0 738.7 1482.0 238.96432 11.13777 0.00801 0.0028 66.1021408242 -0.00538 0.00266 0.00593 0.00292 13.33119 0.03892
8.0 21.0 734.2 1477.8 238.96424 11.13833 0.00746 0.00296 72.3244624794 -0.00609 0.00285 0.00432 0.00315 13.35667 0.01775
8.0 23.0 741.4 1481.5 238.96428 11.13829 0.01008 0.00239 88.8027286673 -0.01007 0.00239 0.00042 0.00258 13.33876 0.02848
8.0 25.0 733.2 1477.5 238.96422 11.1383 0.01042 0.00341 71.9577694905 -0.00842 0.00327 0.00614 0.00365 13.25822 0.02911
8.0 27.0 743.7 1486.0 238.96421 11.13828 0.00778 0.00233 77.1544966923 -0.00701 0.00228 0.00337 0.00253 13.31502 0.043
8.0 28.0 734.2 1481.5 238.96421 11.13825 0.00937 0.00293 76.4612177602 -0.00834 0.00285 0.00427 0.00321 13.33268 0.03153
8.0 30.0 741.7 1484.5 238.96417 11.13824 0.01524 0.0047 74.0605245986 -0.01294 0.00451 0.00805 0.00517 13.27542 0.02873
