ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
10.0 3.0 1530.3 1416.7 238.86989 11.14572 0.09533 0.03029 -20.592103157 0.07175 0.03491 -0.06277 0.02287 16.61154 0.08393
10.0 19.0 1520.8 1417.4 238.86985 11.14566 0.11116 0.0505 -3.88465385099 0.11014 0.05071 -0.01503 0.03687 16.59352 0.09564
10.0 36.0 1515.3 1417.9 238.86987 11.14566 0.11328 0.03545 -63.9993857161 -0.06975 0.04393 -0.08926 0.02908 16.42461 0.26434
10.0 44.0 1520.6 1419.9 238.8698 11.14571 0.08413 0.03898 -12.9030095463 0.07574 0.04137 -0.03663 0.02643 16.61602 0.09317
