ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
34.0 6.0 1525.4 1267.0 238.87031 11.16334 0.01293 0.00249 0.0743 -0.01293 0.00249 0.00044 0.00192 13.09153 0.01143
34.0 7.0 1520.4 1271.5 238.87025 11.16335 0.00894 0.00274 0.1181 -0.00865 0.00278 0.00227 0.00206 13.06933 0.01737
34.0 18.0 1511.4 1267.8 238.87027 11.16334 0.01133 0.00299 0.1029 -0.01101 0.00303 -0.00268 0.00228 13.05935 0.03973
34.0 33.0 1512.2 1265.8 238.87029 11.16337 0.01112 0.00352 0.1164 -0.01112 0.00352 0.0 0.00259 12.98896 0.02742
34.0 48.0 1518.4 1268.2 238.87017 11.1633 0.01444 0.00427 0.097 -0.0144 0.00428 0.00103 0.00279 13.04679 0.0353
