ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
37.0 0.0 1408.5 1286.3 238.88311 11.16156 0.00646 0.00148 5.79833288672 -0.00607 0.00372022848761 0.00222 0.00363296022549 11.99823 0.03557
37.0 1.0 1412.0 1274.8 238.88351 11.16166 0.00735 0.00105 0.0723 -0.00504 0.00114 -0.00535 0.00097 11.99814 0.02403
37.0 3.0 1409.8 1274.1 238.88351 11.16168 0.00572 0.00151 0.1137 -0.00569 0.00151 -0.00058 0.0013 12.01144 0.01441
37.0 5.0 1408.5 1281.6 238.88302 11.16156 0.00495 0.00143 0.1269 -0.00476 0.00145 0.00138 0.00124 11.98843 0.03299
37.0 6.0 1416.0 1281.8 238.88349 11.16161 0.00518 0.00126 0.1118 -0.00443 0.00131 0.00267 0.0011 11.99793 0.01094
37.0 7.0 1411.0 1285.8 238.88343 11.16169 0.00596 0.00139 0.098 -0.00596 0.00139 -9e-05 0.00117 11.99525 0.01636
37.0 8.0 1410.8 1282.8 238.88338 11.16162 0.00694 0.00126 0.0811 -0.00635 0.00129 0.00278 0.00109 11.9911 0.02695
37.0 10.0 1404.0 1285.8 238.88346 11.1616 0.00392 0.00152 0.1775 -0.00345 0.00157 -0.00186 0.00134 11.98968 0.0292
37.0 11.0 1408.0 1283.8 238.88349 11.16166 0.0067 0.00123 0.0944 -0.00428 0.00134 0.00515 0.00115 11.98778 0.02792
37.0 16.0 1411.0 1282.1 238.88339 11.16164 0.00383 0.00125 0.1539 -0.00318 0.00131 0.00214 0.00111 12.00147 0.02636
37.0 17.0 1415.8 1279.8 238.88318 11.1615 0.00911 0.00162 0.0765 -0.00891 0.00163 0.00188 0.00138 11.98687 0.02054
37.0 22.0 1405.0 1286.1 238.88352 11.16166 0.00607 0.00158 0.1146 -0.00585 0.0016 -0.00161 0.00137 12.00716 0.01547
37.0 23.0 1407.0 1281.3 238.88345 11.16165 0.00515 0.00166 0.1498 0.00436 0.00173 -0.00275 0.00146 12.03343 0.0117
37.0 32.0 1406.0 1282.1 238.88307 11.16154 0.00464 0.00177 0.1703 -0.00424 0.00182 -0.00188 0.00153 12.00534 0.01331
37.0 34.0 1410.8 1284.1 238.88304 11.16156 0.00531 0.00127 0.1196 -0.00374 0.00138 0.00376 0.00115 nan nan
37.0 36.0 1412.2 1271.6 238.88341 11.16158 0.01064 0.00138 0.0581 0.00963 0.00142 -0.00454 0.00119 11.99504 0.02634
37.0 37.0 1406.5 1284.3 238.88345 11.16162 0.00419 0.00161 0.1643 -0.00419 0.00161 5e-05 0.00138 12.01424 0.01121
37.0 56.0 1409.2 1279.8 238.88344 11.16162 0.00799 0.00135 0.0704 0.00799 0.00135 -2e-05 0.00113 11.98359 0.03948
37.0 57.0 1406.5 1277.8 238.88353 11.16163 0.00828 0.00193 0.0946 0.00827 0.00193 0.00031 0.00157 11.93378 0.02679
37.0 60.0 1404.5 1283.3 238.88346 11.16161 0.00508 0.00155 0.1218 -0.00507 0.00155 -0.00036 0.00124 11.96169 0.05067
37.0 62.0 1409.0 1277.3 238.88346 11.16165 0.00582 0.00204 0.1515 0.00555 0.00207 0.00175 0.00173 12.01096 0.05249
37.0 65.0 1414.5 1283.3 238.88318 11.16149 0.00537 0.00161 0.1391 -0.00452 0.00168 0.00289 0.00141 11.99592 0.0404
37.0 66.0 1406.8 1278.8 238.88305 11.16156 0.00557 0.00187 0.138 0.00543 0.00189 0.00125 0.00152 nan nan
37.0 67.0 1414.8 1283.1 238.88345 11.16165 0.01063 0.00157 0.065 -0.01033 0.00158 0.00252 0.00137 12.00721 0.02249
37.0 70.0 1416.0 1287.6 238.88336 11.16154 0.00771 0.00133 0.0687 -0.00768 0.00133 0.00066 0.00106 12.02972 0.0199
37.0 81.0 1414.8 1286.3 238.88345 11.16156 0.00887 0.00194 0.0923 -0.00843 0.00197 0.00274 0.0016 11.98073 0.04239
37.0 87.0 1414.5 1288.8 238.88303 11.16148 0.00837 0.00167 0.0772 -0.00837 0.00167 0.0002 0.00129 12.02663 0.04212
37.0 88.0 1417.0 1287.1 238.88336 11.16153 0.00406 0.00144 0.1447 -0.00399 0.00144 -0.00075 0.00117 12.00879 0.05587
37.0 90.0 1405.0 1281.8 238.88305 11.16156 0.00745 0.00163 0.1009 -0.00604 0.00176 -0.00436 0.00135 12.03771 0.04136
37.0 91.0 1407.0 1282.8 238.88306 11.16157 0.00565 0.00165 0.1272 -0.00508 0.00171 -0.00248 0.00136 12.05949 0.02213
37.0 95.0 1416.2 1285.8 238.88339 11.16161 0.00711 0.0013 0.0742 -0.0071 0.0013 0.00016 0.00105 12.00564 0.02099
