ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
17.0 0.0 596.6 1628.7 241.0772 57.44493 0.0165 0.00706 -19.1081424676 0.01296 0.00723823873605 -0.0102 0.00871093565583 18.09853 0.83774
17.0 5.0 600.4 1637.9 241.07707 57.44493 0.02609 0.01278 -30.4240589214 0.01271 0.0108 -0.02279 0.01333 18.64015 1.31791
17.0 11.0 596.6 1639.4 241.07734 57.44487 0.04676 0.01034 48.8217337231 -0.00622 0.00753 0.04635 0.01038 17.61462 0.30876
17.0 13.0 600.6 1638.6 241.07735 57.44493 0.03781 0.01251 36.8812932726 0.01058 0.00917 0.03631 0.01275 17.38604 0.14104
17.0 14.0 598.4 1638.9 241.07701 57.44489 0.17241 0.0255 36.8927524285 0.04815 0.02058 0.16555 0.02587 nan nan
17.0 18.0 603.2 1643.6 241.07725 57.44496 0.03962 0.01279 68.0444677497 -0.02854 0.01151 0.02748 0.01404 nan nan
17.0 20.0 612.7 1643.9 241.07691 57.44488 0.0229 0.01069 55.193024405 -0.00798 0.00903 0.02146 0.01089 17.20661 0.15038
17.0 21.0 609.4 1641.4 241.07702 57.44489 0.16901 0.01396 -6.02751600478 0.16529 0.01365 -0.0353 0.01958 1.9681 0.58067
17.0 28.0 600.1 1627.7 241.07731 57.4449 0.04223 0.02073 61.0314643373 -0.02242 0.01574 0.03579 0.02239 17.40374 0.40674
