ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
18.0 7.0 1901.1 799.8 245.94651 56.9031 0.03056 0.01428 -85.8519960224 -0.03024 0.0144 -0.00441 0.00629 17.31009 0.10384
18.0 8.0 1899.1 804.3 245.94651 56.9031 0.05833 0.01522 -51.7037114326 -0.01353 0.03076 -0.05674 0.01382 17.40522 0.24893
18.0 12.0 1892.1 798.8 245.94627 56.90305 0.05358 0.01539 -42.9775642128 0.00378 0.03572 -0.05345 0.01522 17.18559 0.40078
18.0 19.0 1897.3 799.3 245.94649 56.9031 0.01874 0.00609 -44.3412037652 0.00043 0.01342 -0.01873 0.00608 17.36222 0.10993
18.0 24.0 1899.3 799.8 245.94653 56.90312 0.04425 0.01637 -80.0765814475 -0.04162 0.01725 -0.01502 0.00623 17.22213 0.12485
