ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
35.0 0.0 671.3 1593.9 249.63316 57.27495 0.03111 0.01091 10.0210318368 -0.02178 0.0108561549363 0.02222 0.0119537274521 nan nan
35.0 3.0 668.8 1595.9 249.63313 57.275 0.04661 0.01326 0.121 -0.00312 0.01127 0.04651 0.01326 nan nan
35.0 5.0 671.3 1591.7 249.63327 57.27498 0.04247 0.01567 0.1463 0.01073 0.01216 0.04109 0.01588 nan nan
35.0 10.0 676.5 1587.9 249.63317 57.27498 0.06234 0.01379 0.1198 -0.05277 0.01299 -0.0332 0.01564 nan nan
35.0 20.0 677.8 1584.9 249.6331 57.27506 0.07063 0.02211 0.1529 0.04691 0.0196 0.0528 0.0239 nan nan
35.0 22.0 676.3 1596.9 249.63301 57.27503 0.05343 0.0194 0.1868 -0.04289 0.01868 0.03187 0.02064 17.20422 0.25973
