ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
40.0 0.0 1430.6 1699.1 249.4673 57.26203 0.00559 0.00071 4.4003158666 0.00022 0.00350707855629 0.00558 0.00347334133076 13.51233 0.05451
40.0 1.0 1435.3 1698.1 249.46752 57.26226 0.00331 0.00075 0.1083 -0.00258 0.0008 0.00207 0.00066 13.51475 0.06162
40.0 2.0 1437.6 1688.1 249.46734 57.26177 0.00295 0.00097 0.1369 -0.00292 0.00097 -0.00039 0.0008 14.18819 0.01748
40.0 3.0 1428.6 1701.1 249.46724 57.262 0.0109 0.00081 0.0357 -0.00836 0.00086 0.00699 0.00071 13.48948 0.05261
40.0 4.0 1444.3 1693.1 249.4674 57.26183 0.00376 0.00095 0.1526 9e-05 0.00115 0.00376 0.00095 14.17955 0.01667
40.0 5.0 1431.1 1696.4 249.4673 57.26203 0.00312 0.00076 0.1422 0.00084 0.0009 0.00301 0.00075 13.62762 0.12252
40.0 6.0 1436.3 1702.1 249.4675 57.26192 0.0047 0.00109 0.1098 -0.00377 0.00115 0.00281 0.00096 14.18068 0.01828
40.0 8.0 1426.8 1703.1 249.46719 57.26195 0.00456 0.00113 0.1111 -0.00407 0.00117 -0.00205 0.00097 13.51401 0.06512
40.0 9.0 1437.8 1699.1 249.46726 57.26182 0.0031 0.00112 0.1571 -0.00295 0.00114 0.00097 0.00096 14.16317 0.01641
40.0 10.0 1436.1 1693.1 249.46723 57.26199 0.00383 0.0009 0.0951 -0.00375 0.0009 0.00079 0.00072 13.64202 0.14624
40.0 11.0 1433.8 1707.1 249.46736 57.26201 0.00369 0.00102 0.1303 -0.00294 0.00108 0.00223 0.00088 13.50372 0.06587
40.0 12.0 1437.8 1704.4 249.46745 57.26182 0.00439 0.00109 0.1056 -0.00424 0.0011 -0.00116 0.00091 14.17968 0.01806
40.0 13.0 1443.3 1691.9 249.46731 57.2618 0.00467 0.00118 0.1054 -0.00467 0.00118 -8e-05 0.00098 14.21142 0.01606
40.0 21.0 1439.8 1691.1 249.46718 57.26198 0.00814 0.00126 0.0656 -0.0076 0.00129 -0.0029 0.00103 13.62707 0.14092
40.0 24.0 1439.3 1704.1 249.46783 57.26198 0.0065 0.00131 0.0804 -0.00639 0.00131 -0.00115 0.00103 14.09446 0.04356
40.0 27.0 1442.8 1700.1 249.46727 57.26188 0.00441 0.00108 0.1341 -0.00237 0.00124 -0.00372 0.00101 13.50309 0.06501
40.0 32.0 1436.6 1698.1 249.46741 57.26199 0.00475 0.00123 0.1491 0.00189 0.00146 0.00435 0.00118 14.15941 0.01272
40.0 34.0 1439.6 1687.1 249.46743 57.26199 0.00356 0.00131 0.1574 -0.00355 0.00131 -0.00027 0.00112 14.17907 0.01791
40.0 35.0 1437.3 1696.1 249.46746 57.26194 0.00504 0.00155 0.1271 -0.00462 0.0016 0.00201 0.00121 14.172 0.03226
40.0 38.0 1433.3 1700.9 249.4672 57.26201 0.01017 0.002 0.0785 -0.0097 0.00204 0.00305 0.00155 13.75104 0.22533
40.0 39.0 1433.6 1692.1 249.46742 57.262 0.00361 0.00138 0.2358 0.0003 0.00171 0.0036 0.00138 14.15935 0.0373
