ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
14.0 5.0 879.8 1686.6 192.11119 58.26379 0.00788 0.00303 0.1874 0.00455 0.00287 0.00643 0.00311 13.14742 0.11836
14.0 13.0 885.1 1702.6 192.11117 58.26377 0.0053 0.00158 0.153 -0.00529 0.00158 0.0003 0.00162 13.13592 0.11792
14.0 14.0 883.6 1702.1 192.11131 58.26376 0.00657 0.00217 0.1649 -0.00453 0.00208 0.00475 0.00226 13.14781 0.09665
14.0 16.0 886.1 1698.1 192.11134 58.26375 0.00698 0.00231 0.1646 -0.00459 0.00225 0.00527 0.00236 13.20385 0.14378
14.0 20.0 880.8 1693.1 192.11127 58.26367 0.00464 0.0018 0.2136 0.00457 0.00179 0.00083 0.00199 13.76974 0.073
