ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
1.0 0.0 236.3 582.8 267.98216 9.70362 0.05537 0.00827 61.6101517104 -0.03034 0.00633052920379 0.04632 0.00985507483482 15.20324 0.06173
1.0 1.0 243.9 589.9 267.98212 9.70355 0.01407 0.00357 87.2270947307 -0.01401 0.00353 0.00136 0.00651 15.25832 0.04518
1.0 4.0 243.9 589.6 267.98218 9.70349 0.01828 0.00443 -85.078502999 -0.01801 0.00424 -0.00313 0.00848 15.19073 0.05068
1.0 5.0 233.8 585.9 267.98311 9.70345 0.03394 0.00919 40.594059785 0.0052 0.0049 0.03354 0.00927 15.46477 0.16279
1.0 11.0 236.8 587.9 267.98309 9.70359 0.03514 0.00835 59.6850135188 -0.01723 0.00473 0.03062 0.00921 15.28079 0.05172
1.0 12.0 238.0 590.9 267.98224 9.70345 0.0194 0.00713 72.9432568981 -0.01606 0.00533 0.01088 0.00998 15.30586 0.08449
1.0 16.0 231.5 592.6 267.98229 9.70342 0.04408 0.01372 40.2961217316 0.0072 0.00682 0.04349 0.01386 15.20249 0.05632
1.0 17.0 241.9 589.9 267.98314 9.70352 0.01108 0.0023 81.8642097683 -0.01064 0.00213 0.00311 0.00375 15.21099 0.05781
1.0 22.0 236.2 592.1 267.98219 9.70361 0.02539 0.01071 49.9046239559 -0.00432 0.00489 0.02502 0.01084 15.22489 0.05887
1.0 23.0 237.2 591.1 267.98262 9.70417 0.01299 0.00618 -57.1067034407 -0.00533 0.00388 -0.01184 0.00654 15.20698 0.06976
1.0 26.0 237.5 593.4 267.98314 9.70362 0.01095 0.00509 74.1464682679 -0.00931 0.00408 0.00576 0.00708 15.27728 0.03397
1.0 30.0 236.8 592.1 267.98312 9.70359 0.02213 0.00628 65.4145914701 -0.01447 0.00416 0.01675 0.00748 15.25581 0.04632
1.0 35.0 236.2 593.6 267.98313 9.7035 0.00906 0.00269 -85.0383959533 -0.00893 0.00261 -0.00156 0.00453 15.3269 0.02492
1.0 36.0 236.5 590.9 267.9826 9.70403 0.01252 0.00484 74.9314204472 -0.01083 0.00405 0.00628 0.00667 15.23974 0.04963
1.0 39.0 233.5 588.9 267.98226 9.70348 0.06171 0.01155 50.9416775651 -0.01271 0.00572 0.06039 0.01174 15.19699 0.08431
1.0 50.0 230.5 590.9 267.98282 9.70406 0.01413 0.00337 73.1208738146 -0.01174 0.00252 0.00785 0.00475 15.17816 0.03107
1.0 52.0 247.0 595.9 267.98316 9.70358 0.00703 0.00237 -82.5975957461 -0.00679 0.00224 -0.0018 0.00376 15.3432 0.05006
1.0 53.0 229.5 589.6 267.98299 9.70414 0.01036 0.00391 69.7346932454 -0.00788 0.00285 0.00674 0.00501 14.93302 0.07351
1.0 57.0 240.2 595.7 267.9831 9.70358 0.00842 0.00291 -86.4536017073 -0.00836 0.00287 -0.00104 0.00493 15.00557 0.05956
