ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
24.0 0.0 290.1 365.4 267.97565 9.7293 0.18959 0.02935 53.9267876777 -0.05813 0.0190262555433 0.18046 0.030430537294 16.20585 0.12952
24.0 2.0 294.0 374.2 267.97628 9.72925 0.07388 0.02185 49.0566464191 -0.01043 0.01274 0.07314 0.02199 nan nan
24.0 33.0 292.8 372.5 267.9756 9.72912 0.12263 0.0409 48.128454791 -0.01337 0.02665 0.1219 0.04104 16.23754 0.21479
24.0 41.0 287.0 373.5 267.97478 9.72851 0.20648 0.03589 47.778950536 -0.02 0.01997 0.20551 0.03601 16.10655 0.19028
