ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
28.0 0.0 397.9 487.2 267.96267 9.71481 0.1589 0.02965 42.1066683642 0.01601 0.0186131673823 0.15809 0.0299436554215 16.29248 0.13898
28.0 3.0 403.4 497.7 267.9631 9.71507 0.07709 0.01368 85.8061593988 -0.07626 0.01334 0.01125 0.02451 16.48151 0.10879
28.0 6.0 399.4 492.4 267.96255 9.71477 0.12788 0.03384 56.476449866 -0.04987 0.02166 0.11775 0.03559 16.15521 0.14423
28.0 11.0 397.9 491.4 267.96312 9.71498 0.08965 0.02521 61.186162942 -0.048 0.0171 0.07572 0.02781 16.40081 0.12261
28.0 18.0 401.9 500.2 267.96321 9.71492 0.08875 0.02922 45.9397560136 -0.00292 0.01982 0.08871 0.02922 16.42092 0.38152
28.0 20.0 394.4 496.7 267.96312 9.71501 0.03901 0.01759 -15.2750548182 0.03359 0.01563 -0.01982 0.02229 16.53876 0.06733
