ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
17.0 0.0 1372.4 1784.1 267.84597 9.56128 0.04352 0.00643 86.7515397608 -0.04324 0.00729126189353 0.00492 0.00570406872329 15.15898 0.0601
17.0 63.0 1373.9 1799.9 267.84582 9.56127 0.02317 0.00597 -1.91367903574 0.02312 0.00598 -0.00155 0.00467 15.20466 0.06725
17.0 76.0 1380.1 1791.9 267.84587 9.56134 0.01901 0.00565 -1.63865929407 0.01898 0.00566 -0.00109 0.00426 15.14208 0.03487
17.0 86.0 1375.1 1800.1 267.84594 9.56123 0.01717 0.00413 -3.26585943225 0.01706 0.00414 -0.00195 0.00311 15.14777 0.03023
17.0 88.0 1365.6 1793.1 267.84596 9.56126 0.01536 0.00373 -5.66655259384 0.01506 0.00376 -0.00302 0.00289 15.13973 0.0128
17.0 91.0 1377.1 1794.1 267.84591 9.56122 0.02309 0.00384 -3.26585943225 0.02294 0.00385 -0.00262 0.00297 15.13743 0.00419
17.0 92.0 1373.9 1788.4 267.84593 9.56123 0.01784 0.0042 -3.38618056922 0.01772 0.00421 -0.00211 0.00325 15.07497 0.09264
