ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
40.0 0.0 204.1 1371.8 273.51248 31.69941 0.0358 0.01778 -48.6211984948 -0.00451 0.00883077006835 -0.03551 0.0182102196582 15.84031 0.05578
40.0 5.0 203.6 1366.8 273.51221 31.69905 0.06898 0.01282 -33.9133718938 0.02604 0.00671 -0.06388 0.01357 15.84855 0.05027
40.0 6.0 205.1 1363.8 273.51226 31.69907 0.01418 0.00707 -26.361788154 0.00859 0.00426 -0.01129 0.00827 15.93417 0.03596
40.0 8.0 208.6 1370.8 273.51165 31.69939 0.0247 0.01145 38.8064314642 0.0053 0.00575 0.02412 0.01165 15.87839 0.06887
40.0 11.0 202.9 1367.8 273.51197 31.69905 0.02126 0.00965 -33.5925155285 0.00824 0.00484 -0.01959 0.01027 15.93422 0.06203
40.0 20.0 210.3 1371.6 273.51153 31.69936 0.02181 0.0082 -36.4515749262 0.00641 0.00436 -0.02085 0.00847 15.88494 0.02717
40.0 21.0 201.1 1364.8 273.51226 31.69903 0.01296 0.0063 -37.4828989575 0.00336 0.00367 -0.01251 0.00645 15.95702 0.02888
40.0 25.0 202.6 1372.8 273.51254 31.699 0.04028 0.00799 4.70398349802 0.03974 0.00767 0.00658 0.01575 15.85366 0.03393
40.0 30.0 208.1 1368.1 273.512 31.69914 0.01327 0.00662 -47.1486969613 -0.00099 0.00371 -0.01323 0.00663 15.89408 0.05198
40.0 32.0 201.3 1371.8 273.51198 31.69916 0.01183 0.00553 -50.1567253858 -0.00212 0.00297 -0.01164 0.00559 15.90045 0.08929
40.0 44.0 210.8 1367.1 273.51148 31.69927 0.02099 0.00729 -47.6815477108 -0.00196 0.00408 -0.0209 0.00731 15.9385 0.03774
40.0 46.0 199.6 1366.1 273.51221 31.69907 0.01918 0.00755 -51.1135649036 -0.00406 0.0042 -0.01875 0.00767 15.96436 0.03021
40.0 48.0 201.8 1365.1 273.51203 31.69908 0.01393 0.00579 -44.833947469 8e-05 0.00324 -0.01393 0.00579 15.80197 0.04059
40.0 52.0 204.1 1366.1 273.51222 31.69904 0.02176 0.00822 -51.2682635083 -0.00472 0.00432 -0.02124 0.00836 15.90734 0.05742
40.0 54.0 200.6 1366.3 273.51184 31.69958 0.02036 0.00736 -33.1914450719 0.00816 0.00386 -0.01865 0.00785 15.83377 0.04818
40.0 58.0 202.6 1365.6 273.51228 31.69902 0.01772 0.00821 46.8794067976 -0.00116 0.00424 0.01768 0.00822 15.8606 0.04859
40.0 59.0 205.9 1367.1 273.51221 31.6991 0.02831 0.00927 41.5508993029 0.0034 0.00487 0.0281 0.00932 15.83183 0.05997
40.0 60.0 205.6 1364.8 273.51196 31.69905 0.01554 0.00563 -46.8163814401 -0.00098 0.00312 -0.01551 0.00564 16.38475 0.31797
40.0 61.0 205.1 1372.3 273.51196 31.6991 0.03262 0.01245 39.2132314988 0.00654 0.0052 0.03195 0.01267 16.05513 0.26684
40.0 63.0 205.6 1370.8 273.51223 31.69906 0.04674 0.01441 49.5322013891 -0.00736 0.00632 0.04615 0.01455 15.82494 0.07434
