ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
38.0 4.0 1176.7 1546.3 283.67401 73.79547 0.01111 0.00452 74.6735894394 -0.00956 0.00459 0.00567 0.00432 16.35938 0.07533
38.0 11.0 1181.7 1547.3 283.67407 73.79548 0.02035 0.00811 40.708651344 0.00304 0.00826 0.02012 0.00811 16.10245 0.08568
38.0 12.0 1182.9 1547.6 283.6738 73.79553 0.01173 0.00392 76.9997980876 -0.01055 0.00399 0.00514 0.00365 16.34684 0.08239
38.0 27.0 1182.8 1545.1 283.67391 73.79563 0.0158 0.00722 -19.3086776959 0.01234 0.00746 -0.00986 0.00683 16.25882 0.05824
