ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
29.0 6.0 364.0 1879.3 130.59031 70.79734 0.01289 0.00495 0.3014 0.01285 0.00493 0.00089 0.00778 16.22562 0.08868
29.0 13.0 356.0 1877.1 130.5911 70.79722 0.0531 0.01451 0.0875 -0.01308 0.00882 -0.05146 0.0148 16.19505 0.08921
29.0 18.0 358.0 1877.8 130.59086 70.79722 0.11813 0.01849 0.0458 -0.00794 0.01077 -0.11786 0.01852 16.45643 0.28061
29.0 20.0 374.4 1874.8 130.59041 70.79735 0.05422 0.01677 0.1075 -0.01494 0.01109 -0.05212 0.01715 16.10349 0.12086
