ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
42.0 0.0 1372.9 402.9 261.22619 11.94501 0.08298 0.01425 5.70093006155 0.03309 0.0173464722638 0.07609 0.014086479333 16.47614 0.06772
42.0 7.0 1378.9 416.4 261.22612 11.94491 0.0306 0.01218 0.246 -0.01275 0.01573 0.02781 0.01129 16.576 0.0673
42.0 11.0 1370.4 407.6 261.22611 11.94516 0.06018 0.01504 0.1447 -0.00427 0.01743 0.06003 0.01503 16.63925 0.03984
42.0 16.0 1375.1 408.6 261.22613 11.94517 0.04675 0.01386 0.1679 -0.01487 0.01591 0.04432 0.01361 16.65006 0.06324
42.0 22.0 1371.4 414.1 261.22608 11.94513 0.07941 0.01397 0.1102 0.0212 0.01777 0.07653 0.01364 16.58169 0.06832
42.0 25.0 1366.9 405.6 261.22585 11.94522 0.04356 0.01732 0.1768 0.03715 0.01837 0.02274 0.01414 16.5977 0.06665
42.0 29.0 1375.2 415.3 261.22605 11.94517 0.04687 0.01261 0.1739 -0.00428 0.01633 0.04668 0.01258 nan nan
42.0 32.0 1370.9 409.3 261.22607 11.94513 0.04395 0.01452 0.1997 -0.02078 0.01864 0.03872 0.0131 16.61444 0.05777
42.0 37.0 1367.9 415.1 261.22629 11.945 0.0514 0.01522 0.1868 0.00804 0.01929 0.05076 0.01511 16.62786 0.05917
42.0 42.0 1366.2 409.1 261.22612 11.94514 0.10481 0.02092 0.0998 0.07405 0.02272 0.07418 0.01896 16.50174 0.10141
42.0 55.0 1375.2 413.3 261.22613 11.94512 0.08446 0.02998 0.2183 0.01592 0.0371 0.08294 0.02968 16.27087 0.10809
