ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
10.0 0.0 519.2 829.1 261.32956 11.89589 0.02081 0.00958 62.3378081102 -0.01184 0.00839895231562 0.01711 0.0109131526151 16.29329 0.04783
10.0 1.0 519.2 819.6 261.32932 11.89589 0.02726 0.01034 32.2517942879 0.01174 0.00873 0.02461 0.01068 16.23706 0.05572
10.0 9.0 518.2 824.9 261.32944 11.89583 0.02144 0.00959 67.1162761216 -0.01496 0.00817 0.01536 0.01076 16.33207 0.05544
10.0 10.0 515.7 821.3 261.32918 11.89574 0.04981 0.01816 83.9956127662 -0.04872 0.01761 0.01036 0.02759 16.00155 0.08859
10.0 22.0 517.7 829.1 261.32942 11.89574 0.02311 0.01108 57.536421787 -0.00979 0.00891 0.02093 0.0115 16.23537 0.05631
10.0 23.0 519.5 821.3 261.32942 11.89586 0.01136 0.00518 74.1693865797 -0.00967 0.00472 0.00596 0.00623 16.20899 0.02847
10.0 24.0 514.2 820.6 261.32949 11.89588 0.02839 0.01205 43.298420578 0.00169 0.00972 0.02834 0.01206 16.27606 0.04776
10.0 25.0 514.9 821.3 261.32929 11.8959 0.0385 0.01684 36.359901679 0.01144 0.01259 0.03676 0.0172 16.11484 0.07941
10.0 28.0 519.2 831.1 261.32923 11.89571 0.02805 0.00961 77.2347107836 -0.02531 0.00893 0.01209 0.01216 16.21407 0.06092
10.0 29.0 520.7 829.3 261.32958 11.89592 0.03051 0.01088 50.128077496 -0.00543 0.00839 0.03002 0.01095 16.27708 0.06294
10.0 39.0 518.8 831.3 261.32959 11.89593 0.03765 0.01017 62.9909799967 -0.02212 0.00826 0.03047 0.01104 16.25505 0.05589
10.0 44.0 522.4 830.8 261.32945 11.89581 0.03958 0.01948 64.7327716939 -0.02516 0.01656 0.03055 0.02124 15.97549 0.09019
10.0 47.0 520.4 827.3 261.32919 11.89573 0.07339 0.02373 41.9233218697 0.00786 0.01852 0.07296 0.02378 16.06809 0.09068
10.0 49.0 513.4 829.1 261.3293 11.89585 0.03029 0.01328 52.2365621821 -0.00757 0.00989 0.02933 0.01348 16.22921 0.04649
10.0 65.0 517.2 828.8 261.3292 11.89571 0.06175 0.02446 5.4832060994 0.06062 0.02417 0.01174 0.03119 15.86123 0.10184
10.0 68.0 515.4 827.6 261.3293 11.89584 0.04943 0.02123 13.5504518548 0.04401 0.01972 0.02252 0.02622 15.99171 0.11749
10.0 74.0 520.9 836.8 261.32934 11.89584 0.03172 0.014 58.4474246813 -0.01435 0.01027 0.02829 0.01481 16.25055 0.07198
10.0 75.0 521.2 829.6 261.32922 11.89567 0.09376 0.02538 -3.47212423849 0.09307 0.02523 -0.01133 0.03394 15.8844 0.10788
10.0 77.0 520.7 832.6 261.32933 11.89586 0.05007 0.01588 -1.05424234304 0.05004 0.01587 -0.00184 0.02174 16.1568 0.06459
10.0 82.0 517.5 826.8 261.32934 11.89594 0.05175 0.02296 -1.63292971612 0.05166 0.02292 -0.00295 0.0328 15.95946 0.18591
