ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
35.0 0.0 322.4 1786.2 261.35322 11.78256 0.03078 0.01168 -54.0986750163 -0.00961 0.00847216619289 -0.02924 0.0125012359389 16.28287 0.04764
35.0 4.0 327.1 1784.9 261.35295 11.78237 0.02075 0.00917 -38.7605948406 0.00448 0.00593 -0.02026 0.0093 16.17636 0.03686
35.0 13.0 325.4 1784.2 261.35294 11.78277 0.02871 0.00744 -65.8213915046 -0.01907 0.00552 -0.02145 0.00866 16.21433 0.03088
35.0 14.0 328.9 1790.2 261.35282 11.78271 0.03715 0.01213 -42.3243923263 0.00346 0.00783 -0.03699 0.01216 16.22023 0.04728
35.0 19.0 326.9 1784.9 261.3529 11.78277 0.02876 0.00974 -46.4267701395 -0.00143 0.00605 -0.02872 0.00975 16.27952 0.04254
35.0 20.0 322.9 1785.9 261.35288 11.78276 0.02575 0.01206 -62.6529348976 -0.01488 0.00862 -0.02102 0.01346 16.25995 0.04766
35.0 23.0 324.9 1778.6 261.35296 11.78243 0.01663 0.00732 -50.6380099337 -0.00325 0.00481 -0.01631 0.0074 16.18227 0.02835
35.0 27.0 320.6 1784.2 261.35316 11.78258 0.05177 0.01855 -43.1666402852 0.00331 0.0114 -0.05166 0.01857 16.15676 0.06576
35.0 30.0 325.9 1781.9 261.35301 11.78237 0.02324 0.01014 -81.5548125589 -0.02224 0.00956 -0.00675 0.01506 16.1902 0.04781
35.0 49.0 316.4 1786.2 261.35293 11.78237 0.04822 0.01594 -51.0276212344 -0.01007 0.00971 -0.04715 0.01617 16.1908 0.04585
35.0 56.0 324.9 1782.1 261.35285 11.78271 0.07416 0.02241 4.47480037997 0.07326 0.0221 0.01154 0.03248 15.95238 0.1001
35.0 65.0 330.1 1787.9 261.35297 11.7824 0.16168 0.03428 25.8633148722 0.10013 0.02483 0.12693 0.03902 15.78153 0.0955
35.0 76.0 324.6 1791.7 261.35297 11.78289 0.06605 0.02352 1.36936913036 0.06598 0.02346 0.00316 0.04267 15.78595 0.12996
