ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
4.0 0.0 599.4 1310.2 353.60508 7.57579 0.0109 0.00143 -87.6797313889 -0.01086 0.00368848207261 -0.00088 0.0038424080991 14.48209 0.03516
4.0 1.0 596.1 1316.0 353.60515 7.57522 0.00999 0.00229 76.2320346422 -0.00886 0.00215 0.00462 0.00274 14.49322 0.03645
4.0 3.0 588.6 1308.3 353.60495 7.57551 0.00771 0.00152 -84.2591733519 -0.00755 0.0015 -0.00153 0.00188 14.47881 0.03627
4.0 4.0 589.1 1314.2 353.60511 7.57525 0.00995 0.00129 87.5708694078 -0.00992 0.00129 0.00084 0.00152 14.54271 0.02683
4.0 5.0 586.6 1320.0 353.60512 7.57511 0.00731 0.0012 88.5620863934 -0.0073 0.0012 0.00037 0.00152 14.34733 0.01695
4.0 6.0 592.6 1312.0 353.6051 7.57532 0.01073 0.00176 -78.7301306289 -0.00991 0.0017 -0.00411 0.00206 14.54253 0.03055
4.0 7.0 585.8 1311.3 353.6052 7.57551 0.01128 0.00215 -83.5143282183 -0.01099 0.00212 -0.00253 0.00255 14.53169 0.04302
4.0 8.0 586.8 1308.3 353.60527 7.57538 0.00633 0.00144 -79.0051503706 -0.00587 0.00139 -0.00237 0.0017 14.42657 0.02562
4.0 9.0 586.6 1315.2 353.6051 7.57501 0.00823 0.00243 -71.2702201363 -0.00654 0.00221 -0.00501 0.00278 14.50781 0.05069
4.0 20.0 593.9 1321.2 353.60561 7.57594 0.01979 0.00424 74.369921808 -0.01691 0.00396 0.01027 0.00491 14.48107 0.06006
4.0 21.0 596.9 1320.2 353.60568 7.57562 0.02038 0.00335 74.6392119717 -0.01752 0.00315 0.01041 0.00385 14.49073 0.05635
4.0 22.0 597.4 1315.2 353.60514 7.57524 0.02196 0.00381 67.9642536584 -0.01578 0.00326 0.01527 0.00432 14.48816 0.0583
4.0 30.0 591.1 1321.0 353.60584 7.5758 0.03051 0.00679 68.1017635292 -0.02202 0.0055 0.02112 0.00796 14.45956 0.06709
