ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
2.0 0.0 1841.1 443.8 353.45543 7.67606 0.02414 0.00909 0.813600069086 0.02413 0.00971442226795 0.00068 0.0055843441871 16.14622 0.09138
2.0 1.0 1841.3 455.6 353.45574 7.67636 0.03846 0.01153 13.3785645163 0.03435 0.01248 0.01732 0.00653 16.18657 0.09762
2.0 4.0 1830.6 450.6 353.45578 7.67653 0.02591 0.00738 14.0890321823 0.02284 0.00811 0.01223 0.00388 16.23134 0.06853
2.0 5.0 1830.8 459.9 353.45593 7.67656 0.01566 0.00638 12.9774940597 0.01408 0.00689 0.00685 0.00349 16.09134 0.03476
2.0 10.0 1835.3 456.1 353.45591 7.67666 0.03259 0.00602 24.9351232441 0.021 0.00804 0.02492 0.004 16.13465 0.02365
2.0 11.0 1830.6 449.6 353.45576 7.67658 0.01736 0.00807 -16.7303676178 0.01448 0.00917 -0.00957 0.00463 16.09695 0.02926
2.0 29.0 1839.3 457.6 353.45582 7.67671 0.02722 0.0044 36.9214003182 0.00758 0.00808 0.02614 0.00393 16.13536 0.02821
