ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
6.0 2.0 507.4 540.9 253.54826 39.81989 0.00771 0.00338 47.1658856952 -0.00058 0.00261 0.00769 0.00338 14.5479 0.02508
6.0 17.0 503.9 535.9 253.54826 39.81991 0.0077 0.00314 14.2265420531 0.00677 0.00292 0.00367 0.00379 14.52688 0.03641
6.0 32.0 515.9 546.9 253.54813 39.81973 0.00977 0.00323 -88.367280743 -0.00975 0.00322 -0.00056 0.00423 14.54247 0.03106
6.0 33.0 508.9 542.1 253.54809 39.81972 0.01499 0.00731 41.0868034888 0.00204 0.00515 0.01485 0.00735 14.53293 0.03207
6.0 36.0 501.5 535.9 253.54809 39.81974 0.01349 0.00646 -7.94692461846 0.01297 0.00622 -0.00369 0.00883 14.53562 0.02703
6.0 53.0 505.6 542.4 253.5481 39.81979 0.014 0.00425 55.6055540174 -0.00506 0.00339 0.01305 0.00437 14.55421 0.02385
6.0 60.0 504.4 534.9 253.54809 39.81973 0.02428 0.00691 -11.4534263247 0.02237 0.00641 -0.00945 0.00925 14.48216 0.03897
6.0 67.0 506.4 538.9 253.54807 39.81971 0.01922 0.00939 60.4413178084 -0.00987 0.00693 0.0165 0.01012 14.51839 0.04386
6.0 70.0 513.4 545.1 253.54809 39.81973 0.01674 0.00502 -87.2786609323 -0.01666 0.00499 -0.00159 0.00709 14.51114 0.02852
