ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
24.0 1.0 647.5 1219.1 279.77307 48.02218 0.05003 0.02017 50.3343423022 -0.00926 0.0158 0.04917 0.02031 16.45862 0.09228
24.0 20.0 647.0 1223.2 279.77298 48.02212 0.05651 0.02328 47.7674913801 -0.00545 0.0199 0.05624 0.02331 16.41935 0.09205
24.0 35.0 637.8 1216.3 279.7729 48.02222 0.02588 0.01264 55.301886386 -0.00911 0.00982 0.02422 0.01299 17.08587 0.07397
24.0 38.0 641.2 1218.1 279.77257 48.02191 0.08479 0.02391 -46.484065919 -0.00439 0.01768 -0.08467 0.02392 16.43756 0.1394
