ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
6.0 0.0 825.1 685.6 279.74167 48.08555 0.00964 0.00254 58.1724049396 -0.00428 0.00414450238268 0.00864 0.00426806747838 15.30996 0.03577
6.0 1.0 823.8 683.5 279.74168 48.08551 0.01574 0.00316 58.9344388072 -0.00736 0.00295 0.01391 0.00321 15.26008 0.03435
6.0 14.0 819.1 682.2 279.74222 48.08548 0.02711 0.01161 16.0714661534 0.02295 0.01129 0.01442 0.01238 15.13691 0.04121
6.0 21.0 823.1 688.8 279.74185 48.08545 0.01232 0.00381 54.8664384617 -0.00416 0.00363 0.0116 0.00384 15.19435 0.03887
6.0 28.0 823.8 678.8 279.74212 48.0856 0.01275 0.00532 81.6980520077 -0.01222 0.00527 0.00364 0.00589 15.18235 0.04509
