ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
74.0 1.0 1365.4 1775.1 279.64583 47.95663 0.00622 0.00201 0.1395 -0.0062 0.00201 -0.00052 0.00173 14.85571 0.03073
74.0 2.0 1370.9 1772.1 279.64575 47.9567 0.00555 0.00187 0.1925 0.0017 0.00217 0.00529 0.00183 14.81344 0.0345
74.0 6.0 1373.6 1775.1 279.64576 47.9568 0.00827 0.0027 0.1738 0.00335 0.00291 0.00756 0.00266 14.77219 0.03459
74.0 7.0 1374.9 1777.9 279.64422 47.95468 0.00775 0.00243 0.177 -0.00347 0.00284 0.00693 0.00231 14.8008 0.02948
74.0 11.0 1368.1 1768.1 279.64605 47.95688 0.01094 0.00205 0.1082 -0.00034 0.00237 0.01093 0.00204 14.79302 0.03727
74.0 12.0 1372.8 1769.1 279.64578 47.95663 0.00644 0.00256 0.1887 -0.00517 0.0027 -0.00384 0.00227 14.85812 0.02462
74.0 15.0 1368.1 1769.1 279.64529 47.95681 0.02345 0.00202 0.0512 0.00241 0.00241 0.02332 0.00202 14.83353 0.0364
74.0 17.0 1367.4 1771.1 279.64526 47.95681 0.02266 0.0048 0.1299 0.00519 0.00595 0.02206 0.00473 14.72007 0.06139
