ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
36.0 0.0 359.1 1252.3 250.84831 39.78508 0.00859 0.0026 11.058085446 -0.00754 0.00406059108998 0.00411 0.00493724619601 15.6589 0.04849
36.0 3.0 358.4 1251.3 250.8487 39.7847 0.01089 0.00281 0.1213 -0.00713 0.00209 -0.00824 0.00324 15.66745 0.05062
36.0 5.0 358.1 1254.3 250.8484 39.78507 0.00992 0.00301 0.1089 -0.00331 0.00201 -0.00935 0.00311 15.70642 0.05009
36.0 6.0 361.9 1255.3 250.84872 39.78469 0.00885 0.00264 0.1787 -0.00747 0.00221 -0.00474 0.00347 15.63503 0.06022
36.0 7.0 360.6 1255.1 250.84868 39.7847 0.00944 0.00376 0.1381 -0.00309 0.00241 -0.00892 0.00389 15.65256 0.05305
36.0 12.0 355.9 1255.1 250.84822 39.7851 0.01124 0.00333 0.1006 0.00264 0.00218 -0.01092 0.00339 15.63982 0.06481
36.0 13.0 364.6 1257.6 250.84867 39.78469 0.01647 0.00362 0.155 -0.01516 0.0032 0.00644 0.00538 15.60154 0.0583
36.0 19.0 358.9 1254.3 250.84836 39.78506 0.01401 0.00494 0.1125 -0.00356 0.00298 -0.01355 0.00505 15.62001 0.06281
36.0 24.0 357.4 1251.3 250.84873 39.78466 0.01953 0.0073 0.1166 0.00303 0.00446 -0.01929 0.00736 15.55045 0.05522
36.0 33.0 354.6 1253.3 250.84882 39.78471 0.03031 0.01071 0.1488 0.01715 0.00719 -0.02499 0.01201 15.45925 0.05652
36.0 38.0 350.1 1252.8 250.84844 39.78532 0.05593 0.01297 0.1775 -0.05316 0.01189 -0.01738 0.02052 15.44003 0.05124
36.0 39.0 354.1 1249.1 250.84877 39.78474 0.05564 0.00889 0.0829 -0.04075 0.00631 -0.03788 0.01115 15.39189 0.13915
36.0 40.0 365.4 1260.6 250.84894 39.78499 0.05892 0.02081 0.1576 -0.03687 0.0136 0.04596 0.02435 15.42007 0.06593
