ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
11.0 0.0 1567.1 430.1 238.31918 13.02042 0.0436 0.00487 77.7045361756 -0.03965 0.00615442117506 0.01814 0.00478715990959 15.77385 0.02061
11.0 1.0 1571.8 435.2 238.31916 13.02045 0.03667 0.00409 70.5769412042 -0.02856 0.00458 0.023 0.00319 15.68126 0.03322
11.0 2.0 1566.1 425.5 238.31893 13.02066 0.01084 0.00383 63.546749058 -0.00654 0.00484 0.00864 0.00312 15.79113 0.02003
11.0 3.0 1569.8 433.8 238.3194 13.02013 0.03394 0.00476 60.71633755 -0.0177 0.00618 0.02895 0.0041 15.76291 0.03322
11.0 4.0 1569.3 420.5 238.31908 13.01966 0.01832 0.00364 69.1560058723 -0.01368 0.00418 0.01218 0.00282 15.71016 0.03721
11.0 5.0 1576.1 431.1 238.31924 13.02046 0.04216 0.00313 68.8179607732 -0.03115 0.00361 0.02841 0.00244 15.68458 0.03278
11.0 6.0 1572.8 430.8 238.3193 13.02036 0.05153 0.00497 77.0857417569 -0.04639 0.00531 0.02245 0.00315 15.64603 0.02276
11.0 7.0 1571.8 429.5 238.31926 13.02041 0.03739 0.00367 74.5131612568 -0.03206 0.00397 0.01924 0.00265 15.64821 0.0214
11.0 9.0 1571.3 431.8 238.31924 13.02049 0.03372 0.0032 68.4283494725 -0.02461 0.00375 0.02306 0.00243 15.66599 0.02296
11.0 10.0 1569.3 426.0 238.31922 13.02051 0.02694 0.00537 78.8218038761 -0.02492 0.0056 0.01025 0.00372 15.75277 0.03317
11.0 12.0 1572.6 430.8 238.31941 13.01995 0.03323 0.0037 66.8011493343 -0.02292 0.00437 0.02406 0.00296 15.75265 0.02847
11.0 14.0 1572.1 429.8 238.31942 13.01988 0.05008 0.00513 72.5078089738 -0.04103 0.0057 0.02872 0.00372 15.71481 0.04658
11.0 15.0 1572.1 424.8 238.31928 13.02042 0.02821 0.00401 70.949363771 -0.0222 0.0045 0.01741 0.00304 15.67404 0.03643
11.0 17.0 1569.3 430.3 238.31926 13.02041 0.0453 0.00442 71.5910765016 -0.03626 0.00491 0.02715 0.00338 15.72502 0.03392
11.0 19.0 1570.6 432.6 238.31965 13.01972 0.05277 0.00523 74.9772570708 -0.04568 0.00568 0.02642 0.00358 15.71863 0.03869
11.0 21.0 1575.1 436.0 238.3191 13.01971 0.10135 0.00776 69.539887595 -0.07658 0.00897 0.06639 0.00578 15.77529 0.04064
11.0 22.0 1571.6 423.8 238.31946 13.01996 0.02387 0.00364 68.1533297308 -0.01726 0.00415 0.01649 0.00298 15.67068 0.03152
11.0 24.0 1564.8 432.1 238.31953 13.01972 0.01748 0.00502 64.8129857852 -0.01115 0.00613 0.01346 0.00409 15.66895 0.05752
11.0 26.0 1567.8 428.5 238.31913 13.01971 0.05601 0.00837 87.1182327496 -0.05573 0.0084 0.00563 0.00529 15.77043 0.03036
11.0 28.0 1567.3 435.0 238.31961 13.01972 0.07757 0.00574 81.3886547983 -0.07409 0.00589 0.02297 0.0038 15.70961 0.03884
11.0 30.0 1575.6 434.5 238.31964 13.01969 0.06785 0.00566 73.1552512823 -0.05646 0.00624 0.03763 0.00407 15.81832 0.03793
11.0 31.0 1569.3 432.8 238.31956 13.01958 0.2114 0.01147 84.2133367283 -0.2071 0.01161 0.04243 0.00708 15.74342 0.06446
11.0 42.0 1574.1 430.2 238.32016 13.01981 0.21388 0.01413 82.483004187 -0.20656 0.01442 0.05548 0.00933 15.76032 0.03789
