ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
20.0 1.0 283.4 355.0 100.75245 68.05828 0.01591 0.00758 -22.0187680669 0.01144 0.00544 -0.01106 0.00934 16.36274 0.07697
20.0 2.0 277.2 353.0 100.75261 68.05785 0.0273 0.00929 -44.9256207162 7e-05 0.00539 -0.0273 0.00929 16.36067 0.06699
20.0 5.0 274.8 355.0 100.75233 68.0583 0.06198 0.02711 -60.1204614431 -0.03122 0.01663 -0.05354 0.02984 15.96048 0.10999
20.0 7.0 275.3 353.8 100.75241 68.0583 0.04599 0.01669 -77.779020689 -0.04187 0.01456 -0.01903 0.02451 16.15035 0.10824
20.0 8.0 272.6 359.7 100.75223 68.05761 0.04304 0.01326 -52.6720101064 -0.01139 0.00841 -0.04151 0.01355 16.20887 0.0851
20.0 9.0 270.8 356.0 100.75235 68.05831 0.03087 0.01129 -54.9122750853 -0.01047 0.00744 -0.02904 0.0117 16.29428 0.09979
20.0 10.0 280.0 352.2 100.75232 68.05834 0.0837 0.02934 -42.3473106381 0.00774 0.01492 -0.08334 0.02944 16.51588 0.45195
20.0 11.0 275.6 350.9 100.75237 68.05829 0.04768 0.01292 -47.4924716384 -0.00415 0.00769 -0.0475 0.01295 16.24827 0.10959
20.0 12.0 280.2 352.0 100.75244 68.05833 0.0489 0.01614 -40.7716767015 0.00719 0.00907 -0.04837 0.01626 16.27019 0.09893
20.0 15.0 274.8 349.9 100.75239 68.05831 0.10996 0.02414 -58.6823373773 -0.05055 0.01445 -0.09766 0.02614 16.1315 0.10673
20.0 16.0 279.2 360.7 100.75273 68.05786 0.02678 0.01149 -42.1811528775 0.00263 0.00722 -0.02665 0.01152 16.29302 0.08992
20.0 17.0 274.6 350.2 100.75249 68.05824 0.04881 0.01929 -62.1945686615 -0.02757 0.0126 -0.04028 0.02172 16.08198 0.14602
20.0 19.0 284.0 356.9 100.75225 68.05832 0.01593 0.00756 -4.65814687441 0.01572 0.00745 -0.00258 0.01088 16.35571 0.07877
