ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
65.0 6.0 260.7 1345.1 278.87164 32.66022 0.01819 0.00663 0.1332 0.0064 0.00449 -0.01702 0.00688 14.86656 0.06005
65.0 38.0 263.2 1348.8 278.87167 32.66021 0.01116 0.00437 0.2609 -0.00981 0.00359 0.00533 0.00633 15.20372 0.03625
65.0 49.0 271.0 1350.0 278.87164 32.66022 0.01605 0.00496 0.0976 -0.0041 0.00295 0.01552 0.00507 15.00765 0.04899
65.0 52.0 271.2 1347.0 278.87162 32.6602 0.01949 0.00418 0.0676 -0.00459 0.00251 0.01894 0.00426 15.06558 0.04799
65.0 53.0 274.5 1354.0 278.87142 32.66025 0.03177 0.00902 0.1229 -0.01913 0.00584 0.02537 0.01041 15.14161 0.0519
65.0 54.0 266.2 1351.8 278.87137 32.66025 0.09526 0.02254 0.0814 -0.04171 0.01255 0.08564 0.02432 15.17537 0.03883
65.0 55.0 261.7 1345.1 278.87159 32.66028 0.07607 0.01609 0.0731 -0.03542 0.00847 0.06732 0.01763 15.13447 0.05521
