ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
8.0 10.0 1685.8 824.7 278.67256 32.72199 0.00549 0.00257 -7.10467665962 0.00533 0.00261 -0.00135 0.00173 14.87556 0.01773
8.0 12.0 1679.6 811.9 278.67255 32.72202 0.01331 0.00636 5.54050187892 0.01306 0.00643 0.00256 0.00418 14.42141 0.04411
8.0 15.0 1683.6 811.7 278.67235 32.72233 0.0146 0.00596 88.0292356439 -0.01456 0.00596 0.001 0.00376 14.79218 0.01437
8.0 21.0 1688.1 828.1 278.6724 32.72228 0.00727 0.00184 -42.3816881058 0.00066 0.00268 -0.00724 0.00183 14.73988 0.01696
8.0 31.0 1691.6 825.4 278.67252 32.72204 0.00606 0.00205 -22.4656751471 0.00429 0.0024 -0.00428 0.00162 14.65999 0.02806
8.0 37.0 1682.3 818.4 278.6723 32.72232 0.01193 0.00486 -54.1903482635 -0.00376 0.00744 -0.01132 0.00448 14.81379 0.03513
8.0 49.0 1677.3 815.2 278.67253 32.72204 0.01171 0.00554 -6.02178642682 0.01145 0.00561 -0.00244 0.00358 14.8374 0.02533
8.0 53.0 1694.8 828.4 278.67195 32.72225 0.02353 0.00662 -15.9683337503 0.01997 0.00737 -0.01245 0.0041 14.77262 0.0418
8.0 54.0 1687.6 813.2 278.67202 32.72231 0.02418 0.00814 9.81476703059 0.02277 0.00842 0.00812 0.00548 14.75098 0.04396
8.0 56.0 1676.3 812.2 278.67228 32.72243 0.03708 0.01324 -29.7766166129 0.01879 0.01814 -0.03197 0.01106 14.81418 0.07251
