ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
19.0 0.0 1536.6 806.8 278.69309 32.72419 0.011 0.00241 67.3225409279 -0.00773 0.00438553303488 0.00783 0.00394461658466 14.91706 0.02
19.0 1.0 1537.3 807.8 278.69324 32.72407 0.00905 0.00368 45.6991137396 -0.00022 0.00482 0.00904 0.00368 14.56117 0.02285
19.0 6.0 1532.1 792.2 278.69336 32.72405 0.00811 0.00307 48.8790295026 -0.0011 0.00406 0.00804 0.00305 14.63074 0.04314
19.0 8.0 1538.8 811.5 278.69328 32.72395 0.00634 0.00212 31.1287970095 0.00295 0.00255 0.00561 0.00198 14.899 0.02318
19.0 11.0 1534.3 809.8 278.69326 32.72407 0.01032 0.00427 47.2804772542 -0.00082 0.00549 0.01028 0.00426 14.69725 0.07503
19.0 15.0 1535.8 796.2 278.69314 32.7243 0.01077 0.00439 41.2644204053 0.0014 0.00619 0.01067 0.00435 14.98114 0.01671
19.0 19.0 1540.8 799.8 278.69325 32.7241 0.01165 0.00453 48.1628322587 -0.00128 0.00618 0.01158 0.00451 14.86476 0.13929
19.0 23.0 1527.3 804.5 278.69317 32.7241 0.02424 0.00476 75.0173641165 -0.021 0.00516 0.01211 0.00327 15.00929 0.01873
19.0 25.0 1538.1 807.0 278.69324 32.72405 0.00469 0.00231 81.6006491825 -0.00449 0.00236 0.00136 0.0017 14.95863 0.03007
19.0 36.0 1535.8 807.5 278.69335 32.72397 0.01809 0.00438 77.7503727993 -0.01646 0.00461 0.0075 0.003 15.01552 0.03219
19.0 42.0 1537.3 797.5 278.69317 32.72422 0.01822 0.00735 51.1364832154 -0.00387 0.01052 0.01781 0.00717 14.95024 0.04038
19.0 44.0 1536.1 794.2 278.69336 32.72403 0.00919 0.0027 40.834702059 0.00133 0.00361 0.00909 0.00267 15.00061 0.04066
19.0 48.0 1541.8 806.8 278.69323 32.72405 0.00457 0.00221 51.4401508468 -0.00102 0.00299 0.00445 0.00216 14.90313 0.05478
